date,confirmed,deaths,recovered
2020-05-22,111698,3244,44848
2020-05-23,115754,3373,47915
2020-05-24,119959,3456,49795
2020-05-25,123979,3629,50949
2020-05-26,129751,3788,52906
2020-05-27,135905,3983,56169
2020-05-28,141779,4099,59442
2020-05-29,148285,4230,62791
2020-05-30,155671,4371,66447
2020-05-31,164476,4506,67208
2020-06-01,170039,4634,68507
2020-06-02,178165,4767,69257
2020-06-03,178914,4894,72319
2020-06-04,183198,5031,76228
2020-06-05,187400,5162,79214
2020-06-06,191758,5301,82731
2020-06-07,196515,5465,86219
2020-06-08,199696,5571,89556
2020-06-09,203736,5738,92929
2020-06-10,208823,5903,98031
2020-06-11,214788,6088,102429
2020-06-12,214788,6088,107133
2020-06-13,220749,6308,111724
2020-06-14,229736,6688,115579
2020-06-15,232992,6860,119409
2020-06-16,237156,7056,125205
2020-06-17,240908,7257,128622
2020-06-18,244388,7461,131190
2020-06-19,247925,7660,135520
2020-06-20,251338,7861,143017
2020-06-21,254936,8045,141967
2020-06-22,257447,8223,145320
2020-06-23,260810,8404,148437
2020-06-24,264689,8586,151589
2020-06-25,268602,8761,151225
2020-06-26,272364,8939,159806
2020-06-27,275989,9135,164024
2020-06-28,279419,9317,167998
2020-06-29,282365,9504,171159
2020-06-30,285213,9677,174535
2020-07-01,288477,9860,178245
2020-07-02,292004,10045,182097
2020-07-03,295599,10226,185852
2020-07-04,299080,10412,189621
2020-07-05,302718,10589,193957
2020-07-06,305703,10772,197619
2020-07-07,309278,10952,200938
2020-07-08,312911,11133,204748
2020-07-09,316448,11314,207802
2020-07-10,319646,11500,210638
2020-07-11,322710,11682,214152
2020-07-12,326326,11870,217111
2020-07-13,330123,12054,221008
2020-07-14,333867,12229,223261
2020-07-15,337751,12417,226400
2020-07-16,341586,12615,230994
2020-07-17,345537,12799,233982
2020-07-18,349500,12998,238086
2020-07-19,353590,13187,241955
2020-07-20,357681,13384,245081
2020-07-21,362087,13579,248746
2020-07-22,366550,13767,252246
2020-07-23,371096,17654,255945
2020-07-24,375961,17843,259423
2020-07-25,375961,17843,259423
2020-07-26,375961,17843,267850
2020-07-27,389717,18418,272547
2020-07-28,395005,18612,276452
2020-07-29,400683,18816,280044
2020-07-30,400683,18816,283915
2020-07-31,407492,19021,283915
2020-08-01,407492,19021,287127
2020-08-02,428850,19614,294187
2020-08-03,433100,19811,298091
2020-08-04,439890,20007,302457
2020-08-05,447624,20228,306430
2020-08-06,455409,20424,310337
2020-08-07,463875,20649,314332
2020-08-08,463875,20649,319171
2020-08-09,478024,21072,324020
2020-08-10,483133,21276,324020
2020-08-11,489680,21501,329404
2020-08-12,489680,21501,341938
2020-08-13,498555,21713,341938
2020-08-14,516296,25856,354232
2020-08-15,516296,25856,359781
2020-08-16,525803,26075,365367
2020-08-17,535946,26281,370717
2020-08-18,541493,26481,374019
2020-08-19,549321,26658,377453
2020-08-20,558420,26834,380730
2020-08-21,567059,27034,380730
2020-08-22,576067,27245,380730
2020-08-23,585236,27453,399357
2020-08-24,594326,27663,399357
2020-08-25,600438,27813,414577
2020-08-26,607382,28001,414577
2020-08-27,613378,28124,421877
2020-08-28,621997,28277,429662
2020-08-29,629961,28471,438017
2020-08-30,639435,28607,446675
2020-08-31,647166,28788,455457
2020-09-01,652037,28944,471599
2020-09-02,657129,29068,480177
2020-09-03,657129,29068,480177
2020-09-04,670145,29405,498523
2020-09-05,676848,29554,498523
2020-09-06,683702,29687,506422
2020-09-07,689977,29838,522251
2020-09-08,691575,29976,522251
2020-09-09,696190,30123,536959
2020-09-10,702776,30236,536959
2020-09-11,710067,30344,544745
2020-09-12,716670,30470,559321
2020-09-13,722832,30526,559321
2020-09-14,729619,30710,566796
2020-09-15,733860,30812,573364
2020-09-16,738020,30927,580753
2020-09-17,744400,31051,594513
2020-09-18,750098,31146,594513
2020-09-19,756412,31283,594513
2020-09-20,762865,31369,607837
2020-09-21,768895,31369,607837
2020-09-22,768895,31369,607837
2020-09-23,776546,31568,636489
2020-09-24,782695,31870,636489
2020-09-25,794584,32037,636489
2020-09-26,794584,32037,657836
2020-09-27,800142,32142,657836
2020-09-28,805302,32262,664490
2020-09-29,808714,32324,670989
2020-09-30,811768,32396,676925
2020-10-01,814829,32463,690528
2020-10-02,818297,32535,690528
2020-10-03,821564,32609,695645
2020-10-04,821564,32609,700868
2020-10-05,828169,32742,706223
2020-10-06,829999,32834,712888
2020-10-07,832929,32914,723606
2020-10-08,835662,33009,728216
2020-10-09,838614,33098,728216
2020-10-10,846088,33223,733000
2020-10-11,849371,33305,738189
2020-10-12,851171,33357,743969
